
========================================

    *** Synset Distribution ***

    tadpole.n.01  pct_total=2.91|pct_this=2.91|total_hits=21433|this_hits=21433|below_hits=0|total_found=272|this_found=272|below_found=0|total_not_found=412|this_not_found=412|below_not_found=0
    strawworm.n.02  pct_total=0.04|pct_this=0.04|total_hits=16|this_hits=16|below_hits=0|total_found=4|this_found=4|below_found=0|total_not_found=452|this_not_found=452|below_not_found=0
    nymph.n.02  pct_total=1.16|pct_this=1.16|total_hits=3238|this_hits=3238|below_hits=0|total_found=108|this_found=108|below_found=0|total_not_found=120|this_not_found=120|below_not_found=0
    mealworm.n.01  pct_total=0.30|pct_this=0.30|total_hits=408|this_hits=408|below_hits=0|total_found=28|this_found=28|below_found=0|total_not_found=200|this_not_found=200|below_not_found=0
    leptocephalus.n.01  pct_total=0.02|pct_this=0.02|total_hits=5|this_hits=5|below_hits=0|total_found=2|this_found=2|below_found=0|total_not_found=226|this_not_found=226|below_not_found=0
    hellgrammiate.n.01  pct_total=1.49|pct_this=1.49|total_hits=4795|this_hits=4795|below_hits=0|total_found=139|this_found=139|below_found=0|total_not_found=317|this_not_found=317|below_not_found=0
    grub.n.02  pct_total=1.42|pct_this=1.42|total_hits=2079|this_hits=2079|below_hits=0|total_found=133|this_found=133|below_found=0|total_not_found=95|this_not_found=95|below_not_found=0
    doodlebug.n.03  pct_total=1.98|pct_this=1.98|total_hits=26141|this_hits=26141|below_hits=0|total_found=185|this_found=185|below_found=0|total_not_found=508|this_not_found=508|below_not_found=0
    cercaria.n.01  pct_total=0.04|pct_this=0.04|total_hits=122|this_hits=122|below_hits=0|total_found=4|this_found=4|below_found=0|total_not_found=224|this_not_found=224|below_not_found=0
    caterpillar.n.01  pct_total=1.47|pct_this=1.47|total_hits=8776|this_hits=8776|below_hits=0|total_found=137|this_found=137|below_found=0|total_not_found=91|this_not_found=91|below_not_found=0
    caseworm.n.01  pct_total=0.01|pct_this=0.01|total_hits=5|this_hits=5|below_hits=0|total_found=1|this_found=1|below_found=0|total_not_found=227|this_not_found=227|below_not_found=0
    bot.n.01  pct_total=1.48|pct_this=1.48|total_hits=10234|this_hits=10234|below_hits=0|total_found=138|this_found=138|below_found=0|total_not_found=90|this_not_found=90|below_not_found=0
    bladder_worm.n.01  pct_total=0.00|pct_this=0.00|total_hits=0|this_hits=0|below_hits=0|total_found=0|this_found=0|below_found=0|total_not_found=237|this_not_found=237|below_not_found=0
    ascidian_tadpole.n.01  pct_total=0.00|pct_this=0.00|total_hits=0|this_hits=0|below_hits=0|total_found=0|this_found=0|below_found=0|total_not_found=237|this_not_found=237|below_not_found=0
    aphid_lion.n.01  pct_total=0.00|pct_this=0.00|total_hits=0|this_hits=0|below_hits=0|total_found=0|this_found=0|below_found=0|total_not_found=474|this_not_found=474|below_not_found=0
  invertebrate.n.01  pct_total=6.83|pct_this=0.03|total_hits=91126|this_hits=36|below_hits=91090|total_found=638|this_found=3|below_found=635|total_not_found=6721|this_not_found=225|below_not_found=6496
    zoophyte.n.01  pct_total=0.16|pct_this=0.16|total_hits=98|this_hits=98|below_hits=0|total_found=15|this_found=15|below_found=0|total_not_found=213|this_not_found=213|below_not_found=0
    worm.n.01  pct_total=1.97|pct_this=1.97|total_hits=13957|this_hits=13957|below_hits=0|total_found=184|this_found=184|below_found=0|total_not_found=44|this_not_found=44|below_not_found=0
    woodborer.n.01  pct_total=0.28|pct_this=0.28|total_hits=352|this_hits=352|below_hits=0|total_found=26|this_found=26|below_found=0|total_not_found=430|this_not_found=430|below_not_found=0
